Vivado Simulator 2018.2
Time resolution is 1 ps
Time: 0 | rst: 0 | dout: x | count: 0 | ton: 0 | state: 11
Time: 5000 | rst: 0 | dout: 0 | count: 0 | ton: 0 | state: 00
Time: 15000 | rst: 0 | dout: 1 | count: 1 | ton: 5 | state: 00
Time: 25000 | rst: 0 | dout: 1 | count: 2 | ton: 10 | state: 00
Time: 35000 | rst: 0 | dout: 1 | count: 3 | ton: 15 | state: 00
Time: 45000 | rst: 0 | dout: 1 | count: 4 | ton: 20 | state: 00
Time: 55000 | rst: 0 | dout: 1 | count: 5 | ton: 25 | state: 00
Time: 65000 | rst: 0 | dout: 1 | count: 6 | ton: 30 | state: 00
Time: 75000 | rst: 0 | dout: 1 | count: 7 | ton: 35 | state: 00
Time: 85000 | rst: 0 | dout: 1 | count: 8 | ton: 40 | state: 00
Time: 95000 | rst: 0 | dout: 1 | count: 9 | ton: 45 | state: 00
Time: 105000 | rst: 0 | dout: 1 | count: 10 | ton: 50 | state: 00
Time: 115000 | rst: 0 | dout: 1 | count: 10 | ton: 50 | state: 10
Time: 125000 | rst: 0 | dout: 0 | count: 11 | ton: 50 | state: 10
Time: 135000 | rst: 0 | dout: 0 | count: 12 | ton: 50 | state: 10
Time: 145000 | rst: 0 | dout: 0 | count: 13 | ton: 50 | state: 10
Time: 155000 | rst: 0 | dout: 0 | count: 14 | ton: 50 | state: 10
Time: 165000 | rst: 0 | dout: 0 | count: 15 | ton: 50 | state: 10
Time: 175000 | rst: 0 | dout: 0 | count: 16 | ton: 50 | state: 10
Time: 185000 | rst: 0 | dout: 0 | count: 17 | ton: 50 | state: 10
Time: 195000 | rst: 0 | dout: 0 | count: 18 | ton: 50 | state: 10
Time: 205000 | rst: 0 | dout: 0 | count: 19 | ton: 50 | state: 10
Time: 215000 | rst: 0 | dout: 0 | count: 20 | ton: 50 | state: 10
Time: 225000 | rst: 0 | dout: 0 | count: 21 | ton: 50 | state: 10
Time: 235000 | rst: 0 | dout: 0 | count: 22 | ton: 50 | state: 10
Time: 245000 | rst: 0 | dout: 0 | count: 23 | ton: 50 | state: 10
Time: 255000 | rst: 0 | dout: 0 | count: 24 | ton: 50 | state: 10
Time: 265000 | rst: 0 | dout: 0 | count: 25 | ton: 50 | state: 10
Time: 275000 | rst: 0 | dout: 0 | count: 26 | ton: 50 | state: 10
Time: 285000 | rst: 0 | dout: 0 | count: 27 | ton: 50 | state: 10
Time: 295000 | rst: 0 | dout: 0 | count: 28 | ton: 50 | state: 10
Time: 305000 | rst: 0 | dout: 0 | count: 29 | ton: 50 | state: 10
Time: 315000 | rst: 0 | dout: 0 | count: 30 | ton: 50 | state: 10
Time: 325000 | rst: 0 | dout: 0 | count: 31 | ton: 50 | state: 10
Time: 335000 | rst: 0 | dout: 0 | count: 32 | ton: 50 | state: 10
Time: 345000 | rst: 0 | dout: 0 | count: 33 | ton: 50 | state: 10
Time: 355000 | rst: 0 | dout: 0 | count: 34 | ton: 50 | state: 10
Time: 365000 | rst: 0 | dout: 0 | count: 35 | ton: 50 | state: 10
Time: 375000 | rst: 0 | dout: 0 | count: 36 | ton: 50 | state: 10
Time: 385000 | rst: 0 | dout: 0 | count: 37 | ton: 50 | state: 10
Time: 395000 | rst: 0 | dout: 0 | count: 38 | ton: 50 | state: 10
Time: 405000 | rst: 0 | dout: 0 | count: 39 | ton: 50 | state: 10
Time: 415000 | rst: 0 | dout: 0 | count: 40 | ton: 50 | state: 10
Time: 425000 | rst: 0 | dout: 0 | count: 41 | ton: 50 | state: 10
Time: 435000 | rst: 0 | dout: 0 | count: 42 | ton: 50 | state: 10
Time: 445000 | rst: 0 | dout: 0 | count: 43 | ton: 50 | state: 10
Time: 455000 | rst: 0 | dout: 0 | count: 44 | ton: 50 | state: 10
Time: 465000 | rst: 0 | dout: 0 | count: 45 | ton: 50 | state: 10
Time: 475000 | rst: 0 | dout: 0 | count: 46 | ton: 50 | state: 10
Time: 485000 | rst: 0 | dout: 0 | count: 47 | ton: 50 | state: 10
Time: 495000 | rst: 0 | dout: 0 | count: 48 | ton: 50 | state: 10
Time: 505000 | rst: 0 | dout: 0 | count: 49 | ton: 50 | state: 10
Time: 515000 | rst: 0 | dout: 0 | count: 50 | ton: 50 | state: 10
Time: 525000 | rst: 0 | dout: 0 | count: 51 | ton: 50 | state: 10
Time: 535000 | rst: 0 | dout: 0 | count: 52 | ton: 50 | state: 10
Time: 545000 | rst: 0 | dout: 0 | count: 53 | ton: 50 | state: 10
Time: 555000 | rst: 0 | dout: 0 | count: 54 | ton: 50 | state: 10
Time: 565000 | rst: 0 | dout: 0 | count: 55 | ton: 50 | state: 10
Time: 575000 | rst: 0 | dout: 0 | count: 56 | ton: 50 | state: 10
Time: 585000 | rst: 0 | dout: 0 | count: 57 | ton: 50 | state: 10
Time: 595000 | rst: 0 | dout: 0 | count: 58 | ton: 50 | state: 10
Time: 605000 | rst: 0 | dout: 0 | count: 59 | ton: 50 | state: 10
Time: 615000 | rst: 0 | dout: 0 | count: 60 | ton: 50 | state: 10
Time: 625000 | rst: 0 | dout: 0 | count: 61 | ton: 50 | state: 10
Time: 635000 | rst: 0 | dout: 0 | count: 62 | ton: 50 | state: 10
Time: 645000 | rst: 0 | dout: 0 | count: 63 | ton: 50 | state: 10
Time: 655000 | rst: 0 | dout: 0 | count: 64 | ton: 50 | state: 10
Time: 665000 | rst: 0 | dout: 0 | count: 65 | ton: 50 | state: 10
Time: 675000 | rst: 0 | dout: 0 | count: 66 | ton: 50 | state: 10
Time: 685000 | rst: 0 | dout: 0 | count: 67 | ton: 50 | state: 10
Time: 695000 | rst: 0 | dout: 0 | count: 68 | ton: 50 | state: 10
Time: 705000 | rst: 0 | dout: 0 | count: 69 | ton: 50 | state: 10
Time: 715000 | rst: 0 | dout: 0 | count: 70 | ton: 50 | state: 10
Time: 725000 | rst: 0 | dout: 0 | count: 71 | ton: 50 | state: 10
Time: 735000 | rst: 0 | dout: 0 | count: 72 | ton: 50 | state: 10
Time: 745000 | rst: 0 | dout: 0 | count: 73 | ton: 50 | state: 10
Time: 755000 | rst: 0 | dout: 0 | count: 74 | ton: 50 | state: 10
Time: 765000 | rst: 0 | dout: 0 | count: 75 | ton: 50 | state: 10
Time: 775000 | rst: 0 | dout: 0 | count: 76 | ton: 50 | state: 10
Time: 785000 | rst: 0 | dout: 0 | count: 77 | ton: 50 | state: 10
Time: 795000 | rst: 0 | dout: 0 | count: 78 | ton: 50 | state: 10
Time: 805000 | rst: 0 | dout: 0 | count: 79 | ton: 50 | state: 10
Time: 815000 | rst: 0 | dout: 0 | count: 80 | ton: 50 | state: 10
Time: 825000 | rst: 0 | dout: 0 | count: 81 | ton: 50 | state: 10
Time: 835000 | rst: 0 | dout: 0 | count: 82 | ton: 50 | state: 10
Time: 845000 | rst: 0 | dout: 0 | count: 83 | ton: 50 | state: 10
Time: 855000 | rst: 0 | dout: 0 | count: 84 | ton: 50 | state: 10
Time: 865000 | rst: 0 | dout: 0 | count: 85 | ton: 50 | state: 10
Time: 875000 | rst: 0 | dout: 0 | count: 86 | ton: 50 | state: 10
Time: 885000 | rst: 0 | dout: 0 | count: 87 | ton: 50 | state: 10
Time: 895000 | rst: 0 | dout: 0 | count: 88 | ton: 50 | state: 10
Time: 905000 | rst: 0 | dout: 0 | count: 89 | ton: 50 | state: 10
Time: 915000 | rst: 0 | dout: 0 | count: 90 | ton: 50 | state: 10
Time: 925000 | rst: 0 | dout: 0 | count: 91 | ton: 50 | state: 10
Time: 935000 | rst: 0 | dout: 0 | count: 92 | ton: 50 | state: 10
Time: 945000 | rst: 0 | dout: 0 | count: 93 | ton: 50 | state: 10
Time: 955000 | rst: 0 | dout: 0 | count: 94 | ton: 50 | state: 10
Time: 965000 | rst: 0 | dout: 0 | count: 95 | ton: 50 | state: 10
Time: 975000 | rst: 0 | dout: 0 | count: 96 | ton: 50 | state: 10
Time: 985000 | rst: 0 | dout: 0 | count: 97 | ton: 50 | state: 10
Time: 995000 | rst: 0 | dout: 0 | count: 98 | ton: 50 | state: 10
Time: 1005000 | rst: 0 | dout: 0 | count: 99 | ton: 50 | state: 10
Time: 1015000 | rst: 0 | dout: 0 | count: 100 | ton: 50 | state: 10
Time: 1025000 | rst: 0 | dout: 0 | count: 100 | ton: 50 | state: 11
Time: 1035000 | rst: 0 | dout: 0 | count: 0 | ton: 0 | state: 00
Time: 1045000 | rst: 0 | dout: 1 | count: 1 | ton: 5 | state: 00
Time: 1055000 | rst: 0 | dout: 1 | count: 2 | ton: 10 | state: 00
Time: 1065000 | rst: 0 | dout: 1 | count: 3 | ton: 15 | state: 00
Time: 1075000 | rst: 0 | dout: 1 | count: 4 | ton: 20 | state: 00
Time: 1085000 | rst: 0 | dout: 1 | count: 5 | ton: 25 | state: 00
Time: 1095000 | rst: 0 | dout: 1 | count: 6 | ton: 30 | state: 00
Time: 1105000 | rst: 0 | dout: 1 | count: 7 | ton: 35 | state: 00
Time: 1115000 | rst: 0 | dout: 1 | count: 8 | ton: 40 | state: 00
Time: 1125000 | rst: 0 | dout: 1 | count: 9 | ton: 45 | state: 00
Time: 1135000 | rst: 0 | dout: 1 | count: 10 | ton: 50 | state: 00
Time: 1145000 | rst: 0 | dout: 1 | count: 10 | ton: 50 | state: 10
Time: 1155000 | rst: 0 | dout: 0 | count: 11 | ton: 50 | state: 10
Time: 1165000 | rst: 0 | dout: 0 | count: 12 | ton: 50 | state: 10
Time: 1175000 | rst: 0 | dout: 0 | count: 13 | ton: 50 | state: 10
Time: 1185000 | rst: 0 | dout: 0 | count: 14 | ton: 50 | state: 10
Time: 1195000 | rst: 0 | dout: 0 | count: 15 | ton: 50 | state: 10
Time: 1205000 | rst: 0 | dout: 0 | count: 16 | ton: 50 | state: 10
Time: 1215000 | rst: 0 | dout: 0 | count: 17 | ton: 50 | state: 10
Time: 1225000 | rst: 0 | dout: 0 | count: 18 | ton: 50 | state: 10
Time: 1235000 | rst: 0 | dout: 0 | count: 19 | ton: 50 | state: 10
Time: 1245000 | rst: 0 | dout: 0 | count: 20 | ton: 50 | state: 10
Time: 1255000 | rst: 0 | dout: 0 | count: 21 | ton: 50 | state: 10
Time: 1265000 | rst: 0 | dout: 0 | count: 22 | ton: 50 | state: 10
Time: 1275000 | rst: 0 | dout: 0 | count: 23 | ton: 50 | state: 10
Time: 1285000 | rst: 0 | dout: 0 | count: 24 | ton: 50 | state: 10
Time: 1295000 | rst: 0 | dout: 0 | count: 25 | ton: 50 | state: 10
Time: 1305000 | rst: 0 | dout: 0 | count: 26 | ton: 50 | state: 10
Time: 1315000 | rst: 0 | dout: 0 | count: 27 | ton: 50 | state: 10
Time: 1325000 | rst: 0 | dout: 0 | count: 28 | ton: 50 | state: 10
Time: 1335000 | rst: 0 | dout: 0 | count: 29 | ton: 50 | state: 10
Time: 1345000 | rst: 0 | dout: 0 | count: 30 | ton: 50 | state: 10
Time: 1355000 | rst: 0 | dout: 0 | count: 31 | ton: 50 | state: 10
Time: 1365000 | rst: 0 | dout: 0 | count: 32 | ton: 50 | state: 10
Time: 1375000 | rst: 0 | dout: 0 | count: 33 | ton: 50 | state: 10
Time: 1385000 | rst: 0 | dout: 0 | count: 34 | ton: 50 | state: 10
Time: 1395000 | rst: 0 | dout: 0 | count: 35 | ton: 50 | state: 10
Time: 1405000 | rst: 0 | dout: 0 | count: 36 | ton: 50 | state: 10
Time: 1415000 | rst: 0 | dout: 0 | count: 37 | ton: 50 | state: 10
Time: 1425000 | rst: 0 | dout: 0 | count: 38 | ton: 50 | state: 10
Time: 1435000 | rst: 0 | dout: 0 | count: 39 | ton: 50 | state: 10
Time: 1445000 | rst: 0 | dout: 0 | count: 40 | ton: 50 | state: 10
Time: 1455000 | rst: 0 | dout: 0 | count: 41 | ton: 50 | state: 10
Time: 1465000 | rst: 0 | dout: 0 | count: 42 | ton: 50 | state: 10
Time: 1475000 | rst: 0 | dout: 0 | count: 43 | ton: 50 | state: 10
Time: 1485000 | rst: 0 | dout: 0 | count: 44 | ton: 50 | state: 10
Time: 1495000 | rst: 0 | dout: 0 | count: 45 | ton: 50 | state: 10
Time: 1505000 | rst: 0 | dout: 0 | count: 46 | ton: 50 | state: 10
Time: 1515000 | rst: 0 | dout: 0 | count: 47 | ton: 50 | state: 10
Time: 1525000 | rst: 0 | dout: 0 | count: 48 | ton: 50 | state: 10
Time: 1535000 | rst: 0 | dout: 0 | count: 49 | ton: 50 | state: 10
Time: 1545000 | rst: 0 | dout: 0 | count: 50 | ton: 50 | state: 10
Time: 1555000 | rst: 0 | dout: 0 | count: 51 | ton: 50 | state: 10
Time: 1565000 | rst: 0 | dout: 0 | count: 52 | ton: 50 | state: 10
Time: 1575000 | rst: 0 | dout: 0 | count: 53 | ton: 50 | state: 10
Time: 1585000 | rst: 0 | dout: 0 | count: 54 | ton: 50 | state: 10
Time: 1595000 | rst: 0 | dout: 0 | count: 55 | ton: 50 | state: 10
Time: 1605000 | rst: 0 | dout: 0 | count: 56 | ton: 50 | state: 10
Time: 1615000 | rst: 0 | dout: 0 | count: 57 | ton: 50 | state: 10
Time: 1625000 | rst: 0 | dout: 0 | count: 58 | ton: 50 | state: 10
Time: 1635000 | rst: 0 | dout: 0 | count: 59 | ton: 50 | state: 10
Time: 1645000 | rst: 0 | dout: 0 | count: 60 | ton: 50 | state: 10
Time: 1655000 | rst: 0 | dout: 0 | count: 61 | ton: 50 | state: 10
Time: 1665000 | rst: 0 | dout: 0 | count: 62 | ton: 50 | state: 10
Time: 1675000 | rst: 0 | dout: 0 | count: 63 | ton: 50 | state: 10
Time: 1685000 | rst: 0 | dout: 0 | count: 64 | ton: 50 | state: 10
Time: 1695000 | rst: 0 | dout: 0 | count: 65 | ton: 50 | state: 10
Time: 1705000 | rst: 0 | dout: 0 | count: 66 | ton: 50 | state: 10
Time: 1715000 | rst: 0 | dout: 0 | count: 67 | ton: 50 | state: 10
Time: 1725000 | rst: 0 | dout: 0 | count: 68 | ton: 50 | state: 10
Time: 1735000 | rst: 0 | dout: 0 | count: 69 | ton: 50 | state: 10
Time: 1745000 | rst: 0 | dout: 0 | count: 70 | ton: 50 | state: 10
Time: 1755000 | rst: 0 | dout: 0 | count: 71 | ton: 50 | state: 10
Time: 1765000 | rst: 0 | dout: 0 | count: 72 | ton: 50 | state: 10
Time: 1775000 | rst: 0 | dout: 0 | count: 73 | ton: 50 | state: 10
Time: 1785000 | rst: 0 | dout: 0 | count: 74 | ton: 50 | state: 10
Time: 1795000 | rst: 0 | dout: 0 | count: 75 | ton: 50 | state: 10
Time: 1805000 | rst: 0 | dout: 0 | count: 76 | ton: 50 | state: 10
Time: 1815000 | rst: 0 | dout: 0 | count: 77 | ton: 50 | state: 10
Time: 1825000 | rst: 0 | dout: 0 | count: 78 | ton: 50 | state: 10
Time: 1835000 | rst: 0 | dout: 0 | count: 79 | ton: 50 | state: 10
Time: 1845000 | rst: 0 | dout: 0 | count: 80 | ton: 50 | state: 10
Time: 1855000 | rst: 0 | dout: 0 | count: 81 | ton: 50 | state: 10
Time: 1865000 | rst: 0 | dout: 0 | count: 82 | ton: 50 | state: 10
Time: 1875000 | rst: 0 | dout: 0 | count: 83 | ton: 50 | state: 10
Time: 1885000 | rst: 0 | dout: 0 | count: 84 | ton: 50 | state: 10
Time: 1895000 | rst: 0 | dout: 0 | count: 85 | ton: 50 | state: 10
Time: 1905000 | rst: 0 | dout: 0 | count: 86 | ton: 50 | state: 10
Time: 1915000 | rst: 0 | dout: 0 | count: 87 | ton: 50 | state: 10
Time: 1925000 | rst: 0 | dout: 0 | count: 88 | ton: 50 | state: 10
Time: 1935000 | rst: 0 | dout: 0 | count: 89 | ton: 50 | state: 10
